DAY,HOUR,TOKEN
7. Sunday,0,25149
7. Sunday,1,25055
7. Sunday,2,24959
7. Sunday,3,24591
7. Sunday,4,24496
7. Sunday,5,24607
7. Sunday,6,24784
7. Sunday,7,24899
7. Sunday,8,25282
7. Sunday,9,24975
7. Sunday,10,24872
7. Sunday,11,25288
7. Sunday,12,25485
7. Sunday,13,25718
7. Sunday,14,26040
7. Sunday,15,25780
7. Sunday,16,25863
7. Sunday,17,25835
7. Sunday,18,25939
7. Sunday,19,25734
7. Sunday,20,25732
7. Sunday,21,25745
7. Sunday,22,25801
7. Sunday,23,25811
6. Saturday,0,25990
6. Saturday,1,25685
6. Saturday,2,25459
6. Saturday,3,25170
6. Saturday,4,24847
6. Saturday,5,25142
6. Saturday,6,25059
6. Saturday,7,25307
6. Saturday,8,25433
6. Saturday,9,29807
6. Saturday,10,34901
6. Saturday,11,34669
6. Saturday,12,32041
6. Saturday,13,31663
6. Saturday,14,27514
6. Saturday,15,25890
6. Saturday,16,25807
6. Saturday,17,25998
6. Saturday,18,26076
6. Saturday,19,25853
6. Saturday,20,25748
6. Saturday,21,25603
6. Saturday,22,25487
6. Saturday,23,25390
5. Friday,0,26373
5. Friday,1,26266
5. Friday,2,25835
5. Friday,3,25592
5. Friday,4,25554
5. Friday,5,25642
5. Friday,6,25738
5. Friday,7,25454
5. Friday,8,25231
5. Friday,9,25351
5. Friday,10,25415
5. Friday,11,26062
5. Friday,12,25785
5. Friday,13,25860
5. Friday,14,25516
5. Friday,15,25448
5. Friday,16,25242
5. Friday,17,25821
5. Friday,18,25973
5. Friday,19,25797
5. Friday,20,25821
5. Friday,21,25860
5. Friday,22,25959
5. Friday,23,26289
4. Thursday,0,25787
4. Thursday,1,25757
4. Thursday,2,25647
4. Thursday,3,25315
4. Thursday,4,25382
4. Thursday,5,25463
4. Thursday,6,25529
4. Thursday,7,25616
4. Thursday,8,25513
4. Thursday,9,25421
4. Thursday,10,25659
4. Thursday,11,25814
4. Thursday,12,25682
4. Thursday,13,25928
4. Thursday,14,26115
4. Thursday,15,25712
4. Thursday,16,25237
4. Thursday,17,25180
4. Thursday,18,25641
4. Thursday,19,25848
4. Thursday,20,25925
4. Thursday,21,26054
4. Thursday,22,26174
4. Thursday,23,26526
3. Wednesday,0,25921
3. Wednesday,1,26072
3. Wednesday,2,25623
3. Wednesday,3,25355
3. Wednesday,4,25369
3. Wednesday,5,25707
3. Wednesday,6,25620
3. Wednesday,7,25603
3. Wednesday,8,25308
3. Wednesday,9,25448
3. Wednesday,10,25285
3. Wednesday,11,25662
3. Wednesday,12,25746
3. Wednesday,13,25493
3. Wednesday,14,25369
3. Wednesday,15,25476
3. Wednesday,16,25369
3. Wednesday,17,25299
3. Wednesday,18,25701
3. Wednesday,19,25630
3. Wednesday,20,25855
3. Wednesday,21,25908
3. Wednesday,22,26146
3. Wednesday,23,26262
2. Tuesday,0,26138
2. Tuesday,1,26072
2. Tuesday,2,25767
2. Tuesday,3,25657
2. Tuesday,4,25699
2. Tuesday,5,25461
2. Tuesday,6,25532
2. Tuesday,7,25434
2. Tuesday,8,25291
2. Tuesday,9,25416
2. Tuesday,10,25326
2. Tuesday,11,25875
2. Tuesday,12,25843
2. Tuesday,13,25762
2. Tuesday,14,25235
2. Tuesday,15,25367
2. Tuesday,16,25377
2. Tuesday,17,25391
2. Tuesday,18,25594
2. Tuesday,19,25526
2. Tuesday,20,25582
2. Tuesday,21,25794
2. Tuesday,22,26110
2. Tuesday,23,26257
1. Monday,0,25470
1. Monday,1,25505
1. Monday,2,25297
1. Monday,3,25029
1. Monday,4,24968
1. Monday,5,25128
1. Monday,6,25278
1. Monday,7,25282
1. Monday,8,25098
1. Monday,9,25070
1. Monday,10,25146
1. Monday,11,25498
1. Monday,12,25791
1. Monday,13,25889
1. Monday,14,25574
1. Monday,15,25668
1. Monday,16,25704
1. Monday,17,25872
1. Monday,18,26022
1. Monday,19,26180
1. Monday,20,26391
1. Monday,21,26124
1. Monday,22,26443
1. Monday,23,26323
