DAY,HOUR,NEW_TOKENS
7. Sunday,0,858
7. Sunday,1,807
7. Sunday,2,739
7. Sunday,3,819
7. Sunday,4,711
7. Sunday,5,741
7. Sunday,6,772
7. Sunday,7,744
7. Sunday,8,733
7. Sunday,9,758
7. Sunday,10,765
7. Sunday,11,935
7. Sunday,12,962
7. Sunday,13,994
7. Sunday,14,1085
7. Sunday,15,1037
7. Sunday,16,1086
7. Sunday,17,1213
7. Sunday,18,1220
7. Sunday,19,1220
7. Sunday,20,1178
7. Sunday,21,1193
7. Sunday,22,1065
7. Sunday,23,1098
6. Saturday,0,951
6. Saturday,1,940
6. Saturday,2,799
6. Saturday,3,794
6. Saturday,4,744
6. Saturday,5,705
6. Saturday,6,774
6. Saturday,7,765
6. Saturday,8,754
6. Saturday,9,784
6. Saturday,10,854
6. Saturday,11,866
6. Saturday,12,983
6. Saturday,13,944
6. Saturday,14,1057
6. Saturday,15,1013
6. Saturday,16,1058
6. Saturday,17,1106
6. Saturday,18,1138
6. Saturday,19,1117
6. Saturday,20,1102
6. Saturday,21,993
6. Saturday,22,983
6. Saturday,23,940
5. Friday,0,1065
5. Friday,1,975
5. Friday,2,976
5. Friday,3,889
5. Friday,4,801
5. Friday,5,861
5. Friday,6,900
5. Friday,7,790
5. Friday,8,826
5. Friday,9,882
5. Friday,10,883
5. Friday,11,970
5. Friday,12,1070
5. Friday,13,1071
5. Friday,14,1003
5. Friday,15,1023
5. Friday,16,1063
5. Friday,17,1190
5. Friday,18,1216
5. Friday,19,1235
5. Friday,20,1187
5. Friday,21,1160
5. Friday,22,1099
5. Friday,23,1032
4. Thursday,0,936
4. Thursday,1,953
4. Thursday,2,957
4. Thursday,3,896
4. Thursday,4,830
4. Thursday,5,842
4. Thursday,6,884
4. Thursday,7,804
4. Thursday,8,861
4. Thursday,9,886
4. Thursday,10,998
4. Thursday,11,1006
4. Thursday,12,1031
4. Thursday,13,1016
4. Thursday,14,1039
4. Thursday,15,1036
4. Thursday,16,1093
4. Thursday,17,1181
4. Thursday,18,1221
4. Thursday,19,1274
4. Thursday,20,1232
4. Thursday,21,1257
4. Thursday,22,1133
4. Thursday,23,1187
3. Wednesday,0,1065
3. Wednesday,1,1004
3. Wednesday,2,904
3. Wednesday,3,872
3. Wednesday,4,831
3. Wednesday,5,866
3. Wednesday,6,801
3. Wednesday,7,846
3. Wednesday,8,790
3. Wednesday,9,866
3. Wednesday,10,851
3. Wednesday,11,997
3. Wednesday,12,1000
3. Wednesday,13,1020
3. Wednesday,14,1051
3. Wednesday,15,1140
3. Wednesday,16,1122
3. Wednesday,17,1186
3. Wednesday,18,1235
3. Wednesday,19,1258
3. Wednesday,20,1272
3. Wednesday,21,1242
3. Wednesday,22,1224
3. Wednesday,23,1144
2. Tuesday,0,1036
2. Tuesday,1,997
2. Tuesday,2,934
2. Tuesday,3,919
2. Tuesday,4,854
2. Tuesday,5,829
2. Tuesday,6,822
2. Tuesday,7,794
2. Tuesday,8,853
2. Tuesday,9,910
2. Tuesday,10,940
2. Tuesday,11,1013
2. Tuesday,12,995
2. Tuesday,13,1040
2. Tuesday,14,1013
2. Tuesday,15,1105
2. Tuesday,16,1175
2. Tuesday,17,1130
2. Tuesday,18,1265
2. Tuesday,19,1226
2. Tuesday,20,1273
2. Tuesday,21,1271
2. Tuesday,22,1204
2. Tuesday,23,1115
1. Monday,0,961
1. Monday,1,974
1. Monday,2,927
1. Monday,3,893
1. Monday,4,855
1. Monday,5,832
1. Monday,6,830
1. Monday,7,847
1. Monday,8,861
1. Monday,9,865
1. Monday,10,891
1. Monday,11,983
1. Monday,12,1086
1. Monday,13,1073
1. Monday,14,1089
1. Monday,15,1149
1. Monday,16,1182
1. Monday,17,1217
1. Monday,18,1346
1. Monday,19,1270
1. Monday,20,1358
1. Monday,21,1267
1. Monday,22,1253
1. Monday,23,1151
