BLOCKCHAIN,TOKEN,TOTAL_AMOUNT_OUT_USD
arbitrum,WETH,57919263916.15
arbitrum,USDC,41127912260.84
arbitrum,ARB,13948616832.75
arbitrum,WBTC,10067427963.95
arbitrum,USDT,7297806014.36
arbitrum,GMX,1917388299.89
arbitrum,wstETH,1153227661.26
arbitrum,PENDLE,960206830.69
arbitrum,DAI,550182233.3
arbitrum,LINK,467337090.1
avalanche,WAVAX,1034453480.55
avalanche,USDC,1028773132.74
avalanche,USDt,202359471.5
avalanche,WETH.e,161937207.72
avalanche,BTC.b,65883156.06
avalanche,USDC.e,26093969.47
avalanche,WBTC.e,25208821.53
avalanche,COQ,19693858.61
avalanche,axlUSDC,11901304.04
avalanche,USDT.e,11097769.98
base,WETH,15616543223.04
base,USDC,7081648398.8
base,USDbC,2925205815.07
base,DEGEN,849121180.29
base,BRETT,687339841.29
base,BSHIB,197757088.63
base,MIGGLES,161490194.01
base,AERO,155590536.38
base,$mfer,135171524.9
base,KEYCAT,130215492.5
bsc,WBNB,4779106701.76
bsc,USDT,4001442386.6
bsc,ETH,1564852787.07
bsc,USDC,664092779.1
bsc,BTCB,660987235.66
bsc,BUSD,189081152.77
bsc,FET,55441732.27
bsc,VELO,38342731.4
bsc,SOL,31226455.7
bsc,SDEX,29390266.86
ethereum,WETH,753358789276.78
ethereum,USDC,425267082319.33
ethereum,USDT,172003805290.69
ethereum,WBTC,72514520881.52
ethereum,DAI,52813053548.93
ethereum,wstETH,11555753356.96
ethereum,FEI,10527043814.72
ethereum,UNI,7762898669.56
ethereum,LINK,7289356161.47
ethereum,SHIB,6643126654.78
optimism,WETH,8682128126.06
optimism,USDC,5457681213.72
optimism,OP,3383653534.06
optimism,DAI,978406865.38
optimism,USDT,821811702.01
optimism,WBTC,781462054.28
optimism,wstETH,559115799.09
optimism,SNX,467450131.71
optimism,WLD,262022558.67
optimism,sUSD,85503006.25
polygon,USDC,24441574417.33
polygon,WETH,17817458884.08
polygon,WMATIC,14491770549.37
polygon,WBTC,4274804418.13
polygon,USDT,1937315569.19
polygon,LINK,921429215.83
polygon,DAI,842606852.48
polygon,RNDR,244084589.65
polygon,BOB,239819986.57
polygon,AAVE,231003115.85
