BLOCKCHAIN,TOKEN,TOTAL_AMOUNT_IN_USD
arbitrum,WETH,58350395334.01
arbitrum,USDC,41268680965.93
arbitrum,ARB,14024884417.87
arbitrum,WBTC,9983121164.7
arbitrum,USDT,7264236238.9
arbitrum,GMX,1968088822.34
arbitrum,PENDLE,966255924.61
arbitrum,wstETH,755984524.35
arbitrum,DAI,542805043.21
arbitrum,LINK,475426254.69
avalanche,WAVAX,1033214834.48
avalanche,USDC,1028195404.98
avalanche,USDt,203436672.31
avalanche,WETH.e,163882125.33
avalanche,BTC.b,66192517.62
avalanche,USDC.e,25998744.42
avalanche,WBTC.e,25303818.48
avalanche,COQ,19914605.56
avalanche,axlUSDC,11907004.25
avalanche,USDT.e,10349763.52
base,WETH,16022656390.52
base,USDC,7114979848.39
base,USDbC,2924771979.1
base,DEGEN,859213922.1
base,BRETT,681867368.08
base,BSHIB,198673657.28
base,MIGGLES,163501777.25
base,AERO,158951360.84
base,$mfer,144467662.09
base,KEYCAT,132847673.58
bsc,WBNB,4775052973.95
bsc,USDT,4009464676.03
bsc,ETH,1570038697.27
bsc,USDC,662784377.27
bsc,BTCB,657823531.02
bsc,BUSD,189357845.95
bsc,FET,57750278.05
bsc,VELO,38772041.3
bsc,SOL,31687513.93
bsc,SDEX,29359444.56
ethereum,WETH,759764442828.1
ethereum,USDC,424918948811.44
ethereum,USDT,172647880992.2
ethereum,WBTC,72259843027.93
ethereum,DAI,52722653432.42
ethereum,FEI,10951804059.57
ethereum,wstETH,10336435046.22
ethereum,UNI,7968213618.15
ethereum,LINK,7481775484.42
ethereum,SHIB,6694484203.55
optimism,WETH,8767884738.55
optimism,USDC,5396321689.6
optimism,OP,3422380581.2
optimism,DAI,973755022.64
optimism,USDT,824561914.46
optimism,WBTC,767259991.23
optimism,SNX,485642649.34
optimism,wstETH,454099228.09
optimism,WLD,348062488.43
optimism,sUSD,85878861.88
polygon,USDC,24467521785.14
polygon,WETH,17808961680.42
polygon,WMATIC,14576333275.68
polygon,WBTC,4267401126.11
polygon,USDT,1937529453.44
polygon,LINK,924430240.44
polygon,DAI,840118564.32
polygon,RNDR,247688412.28
polygon,BOB,240886113.78
polygon,AAVE,232301120.52
