BLOCKCHAIN,TOKEN,NUMBER_OF_SWAPS
arbitrum,WETH,34359970
arbitrum,USDC,22646291
arbitrum,USDT,8194654
arbitrum,ARB,8189675
arbitrum,WBTC,3108146
arbitrum,PENDLE,1117964
arbitrum,DAI,949581
arbitrum,GMX,797569
arbitrum,LINK,511348
arbitrum,GRT,448225
avalanche,WAVAX,1188428
avalanche,USDC,931082
avalanche,USDt,215889
avalanche,WETH.e,201949
avalanche,BTC.b,53376
avalanche,COQ,38518
avalanche,WBTC.e,20071
avalanche,USDC.e,17500
avalanche,KIMBO,14886
avalanche,MQT,14763
base,WETH,105112087
base,USDC,6407950
base,USDbC,2555161
base,BSHIB,784916
base,BRETT,779891
base,DEGEN,765746
base,DAI,613193
base,AERO,496002
base,FOMO,493624
base,FPEPE,414718
bsc,WBNB,7479367
bsc,USDT,6966819
bsc,ETH,1745100
bsc,BUSD,1684665
bsc,USDC,1280907
bsc,BTCB,712769
bsc,uSPE,115617
bsc,TWoN,114665
bsc,FET,101528
bsc,SOL,94634
ethereum,WETH,127996816
ethereum,USDC,12377978
ethereum,USDT,10149124
ethereum,DAI,2499867
ethereum,WBTC,1461677
ethereum,PEPE,863583
ethereum,SHIB,832112
ethereum,UNI,690528
ethereum,HEX,678682
ethereum,LINK,474022
optimism,WETH,12189795
optimism,USDC,10997305
optimism,vUSD,6732288
optimism,OP,4025486
optimism,WLD,3356213
optimism,USDT,2475756
optimism,DAI,2271146
optimism,WBTC,1147051
optimism,vETH,960219
optimism,sUSD,760641
polygon,WMATIC,26994088
polygon,USDC,25291803
polygon,WETH,15843664
polygon,USDT,12558142
polygon,WBTC,4736243
polygon,DAI,2294543
polygon,LINK,2109086
polygon,AAVE,685598
polygon,RNDR,680449
polygon,LDO,617920
