WEEK,BLOCKCHAIN,UNIQUE_TOKEN_COUNT
2020-05-04 00:00:00.000,ethereum,3
2020-05-11 00:00:00.000,ethereum,5
2020-05-18 00:00:00.000,ethereum,194
2020-05-25 00:00:00.000,ethereum,230
2020-06-01 00:00:00.000,ethereum,350
2020-06-08 00:00:00.000,ethereum,475
2020-06-15 00:00:00.000,ethereum,456
2020-06-22 00:00:00.000,ethereum,441
2020-06-29 00:00:00.000,ethereum,518
2020-07-06 00:00:00.000,ethereum,612
2020-07-13 00:00:00.000,ethereum,569
2020-07-20 00:00:00.000,ethereum,598
2020-07-27 00:00:00.000,ethereum,866
2020-08-03 00:00:00.000,ethereum,958
2020-08-10 00:00:00.000,ethereum,983
2020-08-17 00:00:00.000,ethereum,1139
2020-08-24 00:00:00.000,ethereum,1316
2020-08-31 00:00:00.000,ethereum,1417
2020-09-07 00:00:00.000,ethereum,1585
2020-09-14 00:00:00.000,ethereum,1685
2020-09-21 00:00:00.000,ethereum,2118
2020-09-28 00:00:00.000,ethereum,2326
2020-10-05 00:00:00.000,ethereum,2572
2020-10-12 00:00:00.000,ethereum,2903
2020-10-19 00:00:00.000,ethereum,3277
2020-10-26 00:00:00.000,ethereum,3267
2020-11-02 00:00:00.000,ethereum,3262
2020-11-09 00:00:00.000,ethereum,3160
2020-11-16 00:00:00.000,ethereum,2966
2020-11-23 00:00:00.000,ethereum,2977
2020-11-30 00:00:00.000,ethereum,2830
2020-12-07 00:00:00.000,ethereum,2815
2020-12-14 00:00:00.000,ethereum,2869
2020-12-21 00:00:00.000,ethereum,2786
2020-12-28 00:00:00.000,ethereum,2822
2021-01-04 00:00:00.000,ethereum,2748
2021-01-11 00:00:00.000,ethereum,2790
2021-01-18 00:00:00.000,ethereum,2663
2021-01-25 00:00:00.000,ethereum,2570
2021-02-01 00:00:00.000,ethereum,2449
2021-02-08 00:00:00.000,ethereum,2455
2021-02-15 00:00:00.000,ethereum,2476
2021-02-22 00:00:00.000,ethereum,2388
2021-03-01 00:00:00.000,ethereum,2555
2021-03-08 00:00:00.000,ethereum,2487
2021-03-15 00:00:00.000,ethereum,2663
2021-03-22 00:00:00.000,ethereum,2825
2021-03-29 00:00:00.000,ethereum,2820
2021-04-05 00:00:00.000,ethereum,2915
2021-04-12 00:00:00.000,ethereum,2945
2021-04-19 00:00:00.000,ethereum,3593
2021-04-26 00:00:00.000,ethereum,4011
2021-05-03 00:00:00.000,ethereum,3725
2021-05-10 00:00:00.000,ethereum,3708
2021-05-17 00:00:00.000,ethereum,3889
2021-05-24 00:00:00.000,ethereum,4438
2021-05-31 00:00:00.000,arbitrum,1
2021-05-31 00:00:00.000,ethereum,5146
2021-06-07 00:00:00.000,ethereum,5320
2021-06-14 00:00:00.000,ethereum,4927
2021-06-21 00:00:00.000,ethereum,4772
2021-06-28 00:00:00.000,ethereum,5056
2021-07-05 00:00:00.000,ethereum,4718
2021-07-12 00:00:00.000,arbitrum,2
2021-07-12 00:00:00.000,ethereum,4162
2021-07-19 00:00:00.000,ethereum,4307
2021-07-26 00:00:00.000,ethereum,4038
2021-08-02 00:00:00.000,ethereum,3914
2021-08-09 00:00:00.000,ethereum,3829
2021-08-16 00:00:00.000,ethereum,3988
2021-08-23 00:00:00.000,arbitrum,4
