BLOCKCHAIN,TOKEN,UNIQUE_TRADERS
arbitrum,WETH,3313259
arbitrum,USDC,1507235
arbitrum,USDT,983664
arbitrum,ARB,561901
arbitrum,WBTC,306350
arbitrum,GRT,284938
arbitrum,DAI,278559
arbitrum,GMX,113999
arbitrum,STG,102186
arbitrum,ZRO,86119
avalanche,WAVAX,210763
avalanche,USDC,142910
avalanche,USDt,67130
avalanche,WETH.e,28419
avalanche,BTC.b,19070
avalanche,COQ,9749
avalanche,USDC.e,5099
avalanche,WBTC.e,4455
avalanche,Volta,3289
avalanche,MQT,3285
base,WETH,30650543
base,USDC,886741
base,USDbC,552729
base,DOG,229231
base,DAI,182922
base,PRO,146119
base,toby,144481
base,DEGEN,142434
base,BRETT,107746
base,BENTO,104618
bsc,WBNB,1753216
bsc,USDT,1301363
bsc,BUSD,408853
bsc,USDC,323977
bsc,ETH,290267
bsc,BTCB,124832
bsc,SOL,34609
bsc,MATIC,34368
bsc,STG,29161
bsc,MAV,27263
ethereum,WETH,9784754
ethereum,USDT,1785782
ethereum,USDC,1706383
ethereum,DAI,511061
ethereum,WBTC,313143
ethereum,SHIB,312234
ethereum,PEPE,231259
ethereum,UNI,225740
ethereum,MATIC,154427
ethereum,LOOKS,129662
optimism,WETH,1766649
optimism,USDC,1143585
optimism,DAI,660958
optimism,OP,593933
optimism,USDT,582256
optimism,vUSD,351493
optimism,sUSD,252349
optimism,vETH,201244
optimism,WBTC,146401
optimism,vBTC,111483
polygon,WMATIC,2613273
polygon,USDC,1935162
polygon,USDT,1326218
polygon,WETH,1169589
polygon,DAI,437774
polygon,WBTC,346681
polygon,LINK,138423
polygon,agEUR,135673
polygon,00,74069
polygon,STG,71761
