BLOCKCHAIN,TOKEN_PAIR,TOTAL_SWAP_VOLUME_USD
arbitrum,USDC-WETH,60521569502.23
arbitrum,ARB-WETH,17249827002.72
arbitrum,WBTC-WETH,14128630775.64
arbitrum,USDT-WETH,10227438424.77
arbitrum,ARB-USDC,10066549638.63
arbitrum,USDC-WBTC,4047370868.78
arbitrum,GMX-WETH,3729757702.37
arbitrum,USDC-USDC,1904224767.13
arbitrum,PENDLE-WETH,1867814975.11
arbitrum,USDC-USDT,1849114016.83
avalanche,USDC-WAVAX,1587070491.44
avalanche,USDC-USDt,342100716.66
avalanche,WAVAX-WETH.e,260303439.82
avalanche,BTC.b-WAVAX,68602362.55
avalanche,USDt-WAVAX,56416527.17
avalanche,USDC-USDC.e,52083594.06
avalanche,USDC-WETH.e,48996978.82
avalanche,BTC.b-WBTC.e,45640084.28
avalanche,COQ-WAVAX,33590103.6
avalanche,USDC-axlUSDC,23811578.3
base,USDC-WETH,12815794382.75
base,USDbC-WETH,4645856163.58
base,DEGEN-WETH,1692942408.84
base,BRETT-WETH,1378181027.41
base,USDC-USDbC,1095958537.94
base,BSHIB-WETH,395880355.85
base,MIGGLES-WETH,324183598.56
base,AERO-WETH,301248346.29
base,$mfer-WETH,274580662.52
base,KEYCAT-WETH,260195840.39
bsc,USDT-WBNB,5584651084.44
bsc,ETH-USDT,1723550054.19
bsc,ETH-WBNB,1152238858.92
bsc,USDC-WBNB,1020790435.92
bsc,BTCB-WBNB,928163988.47
bsc,USDC-USDT,294244500.63
bsc,BUSD-WBNB,270170676.38
bsc,BTCB-ETH,209765590.14
bsc,BTCB-USDT,173749961.54
bsc,FET-WBNB,109162070.52
ethereum,USDC-WETH,631546725746.64
ethereum,USDT-WETH,210484149168.47
ethereum,WBTC-WETH,114781814940.84
ethereum,USDC-USDT,102640464262.25
ethereum,DAI-WETH,61192635623.82
ethereum,DAI-USDC,28917085067.84
ethereum,USDC-WBTC,20648413955.91
ethereum,WETH-wstETH,20162892250.23
ethereum,UNI-WETH,14820042282.33
ethereum,LINK-WETH,14295905529.1
optimism,OP-WETH,5982409781.94
optimism,USDC-WETH,5789857970.58
optimism,DAI-WETH,1376465489.26
optimism,WBTC-WETH,1367290170.55
optimism,USDC-USDT,1095881109.98
optimism,USDC-USDC,986072862.41
optimism,SNX-WETH,936792544.6
optimism,WETH-wstETH,872439296.82
optimism,OP-USDC,580043980.55
optimism,USDC-WLD,491495283.23
polygon,USDC-WETH,20706874285.77
polygon,USDC-WMATIC,16410600784.71
polygon,WETH-WMATIC,7438503280.36
polygon,WBTC-WETH,5582450901.69
polygon,USDC-WBTC,2554425137.64
polygon,USDC-USDT,1904408212.55
polygon,USDC-USDC,1637851180.09
polygon,DAI-USDC,1220594160.21
polygon,USDT-WMATIC,1003620964.15
polygon,LINK-WMATIC,973839255.69
