BLOCKCHAIN,TOKEN_PAIR,TOTAL_SWAP_COUNT
arbitrum,USDC-WETH,24742274
arbitrum,USDT-WETH,9972876
arbitrum,ARB-USDC,9220724
arbitrum,ARB-WETH,5216483
arbitrum,WBTC-WETH,3012487
arbitrum,USDC-USDT,2314253
arbitrum,USDC-WBTC,2149497
arbitrum,PENDLE-WETH,1853348
arbitrum,GETH-WETH,1841963
arbitrum,GMX-WETH,1392398
avalanche,USDC-WAVAX,1508701
avalanche,WAVAX-WETH.e,336935
avalanche,USDC-USDt,199290
avalanche,USDt-WAVAX,186883
avalanche,COQ-WAVAX,74603
avalanche,BTC.b-WAVAX,65524
avalanche,USDC-WETH.e,52024
avalanche,USDC-USDC.e,37244
avalanche,MQT-USDt,29892
avalanche,BTC.b-USDC,21069
base,USDC-WETH,9283879
base,USDbC-WETH,3797736
base,BSHIB-WETH,2035183
base,TAD-WETH,1839188
base,PEPE-WETH,1745692
base,BRETT-WETH,1569799
base,DEGEN-WETH,1464415
base,TRUMP-WETH,1334107
base,FPEPE-WETH,1283458
base,BLERF-WETH,1151052
bsc,USDT-WBNB,6951946
bsc,BUSD-WBNB,2008347
bsc,ETH-USDT,1645926
bsc,USDC-WBNB,1510281
bsc,ETH-WBNB,1436957
bsc,BUSD-USDT,834894
bsc,USDC-USDT,832817
bsc,BTCB-WBNB,788307
bsc,BTCB-USDT,454457
bsc,FET-WBNB,177302
ethereum,USDC-WETH,13906223
ethereum,USDT-WETH,12602079
ethereum,DAI-WETH,2899286
ethereum,SHIB-WETH,2246370
ethereum,PEPE-WETH,2002488
ethereum,WBTC-WETH,1877353
ethereum,USDC-USDT,1711081
ethereum,HEX-WETH,1248939
ethereum,SAITAMA-WETH,1116520
ethereum,UNI-WETH,974687
optimism,USDC-WETH,9995473
optimism,OP-WETH,4637154
optimism,USDC-WLD,3762946
optimism,USDT-WETH,2478846
optimism,OP-USDC,2407512
optimism,DAI-WETH,2091512
optimism,vETH-vUSD,1939431
optimism,USDC-USDT,1459251
optimism,DAI-USDC,1435384
optimism,USDC-WBTC,1327072
polygon,USDC-WMATIC,19034118
polygon,USDC-WETH,12527100
polygon,USDT-WMATIC,9641280
polygon,WETH-WMATIC,8509336
polygon,USDC-USDT,4489114
polygon,USDC-WBTC,3969934
polygon,WBTC-WETH,2696923
polygon,USDT-WETH,2308557
polygon,DAI-USDC,1896741
polygon,LINK-WMATIC,1854010
