BLOCKCHAIN,TOKEN_PAIR,UNIQUE_TRADER_COUNT
arbitrum,USDC-WETH,1670634
arbitrum,USDT-WETH,1111455
arbitrum,GETH-WETH,1105276
arbitrum,ARB-WETH,603728
arbitrum,USDC-USDT,588838
arbitrum,STG-WETH,337796
arbitrum,WBTC-WETH,331951
arbitrum,ARB-USDC,312921
arbitrum,USDC-USDC,298159
arbitrum,GRT-WETH,289471
avalanche,USDC-WAVAX,211641
avalanche,USDC-USDt,64687
avalanche,USDt-WAVAX,55847
avalanche,WAVAX-WETH.e,36262
avalanche,COQ-WAVAX,18291
avalanche,BTC.b-WAVAX,18154
avalanche,USDC-WETH.e,13921
avalanche,USDC-USDC.e,10877
avalanche,BTC.b-USDC,10093
avalanche,MQT-USDt,6538
base,USDC-WETH,1250722
base,PEPE-WETH,1193861
base,CAT-WETH,992838
base,TAD-WETH,852170
base,CHUMP-WETH,816519
base,BRO-WETH,683380
base,USDbC-WETH,658939
base,BRETARDIO-WETH,653687
base,CHEERS-WETH,606674
base,OHNO-WETH,463613
bsc,USDT-WBNB,1588915
bsc,USDC-WBNB,438693
bsc,BUSD-WBNB,435605
bsc,ETH-WBNB,373897
bsc,USDC-USDT,260305
bsc,ETH-USDT,211768
bsc,BUSD-USDT,168047
bsc,BTCB-WBNB,164927
bsc,STG-WBNB,68391
bsc,SOL-WBNB,64097
ethereum,USDT-WETH,2090814
ethereum,USDC-WETH,1927484
ethereum,SHIB-WETH,730214
ethereum,DAI-WETH,545274
ethereum,USDC-USDT,531028
ethereum,WBTC-WETH,392410
ethereum,PEPE-WETH,386112
ethereum,SAITAMA-WETH,299516
ethereum,MATIC-WETH,292120
ethereum,UNI-WETH,276161
optimism,USDC-WETH,1118620
optimism,OP-WETH,688268
optimism,DAI-WETH,557518
optimism,USDT-WETH,526787
optimism,DAI-USDC,524028
optimism,USDC-USDT,426713
optimism,GETH-WETH,372604
optimism,USDC-sUSD,235784
optimism,OP-USDC,223157
optimism,vETH-vUSD,205494
polygon,USDC-WMATIC,1921553
polygon,USDT-WMATIC,1332984
polygon,WETH-WMATIC,1135961
polygon,USDC-USDT,771036
polygon,USDC-WETH,728514
polygon,DAI-USDC,345459
polygon,USDT-WETH,337661
polygon,DAI-USDT,279433
polygon,DAI-WMATIC,273635
polygon,WBTC-WMATIC,272071
