EXPANSION_PATH,TOKEN_COUNT
ethereum --> base,16369
ethereum --> polygon,2862
ethereum --> arbitrum,1825
base --> ethereum,1453
ethereum --> bsc,978
ethereum --> optimism,384
polygon --> ethereum,367
polygon --> base,279
arbitrum --> ethereum,181
arbitrum --> base,166
ethereum --> avalanche,165
base --> polygon,103
polygon --> arbitrum,66
base --> arbitrum,51
bsc --> base,43
arbitrum --> polygon,40
bsc --> ethereum,40
polygon --> bsc,40
optimism --> ethereum,33
optimism --> base,29
base --> bsc,24
optimism --> arbitrum,21
polygon --> optimism,20
bsc --> polygon,19
arbitrum --> optimism,18
base --> optimism,18
arbitrum --> bsc,11
avalanche --> ethereum,11
avalanche --> base,9
optimism --> polygon,9
polygon --> avalanche,9
arbitrum --> avalanche,5
avalanche --> polygon,5
bsc --> arbitrum,5
avalanche --> bsc,3
base --> avalanche,3
bsc --> optimism,3
avalanche --> arbitrum,2
avalanche --> optimism,2
bsc --> avalanche,2
optimism --> avalanche,2
optimism --> bsc,2
