WEEK,V2,V3
2020-05-04 00:00:00.000,3,
2020-05-11 00:00:00.000,5,
2020-05-18 00:00:00.000,194,
2020-05-25 00:00:00.000,230,
2020-06-01 00:00:00.000,350,
2020-06-08 00:00:00.000,475,
2020-06-15 00:00:00.000,456,
2020-06-22 00:00:00.000,441,
2020-06-29 00:00:00.000,518,
2020-07-06 00:00:00.000,612,
2020-07-13 00:00:00.000,569,
2020-07-20 00:00:00.000,598,
2020-07-27 00:00:00.000,866,
2020-08-03 00:00:00.000,958,
2020-08-10 00:00:00.000,983,
2020-08-17 00:00:00.000,1139,
2020-08-24 00:00:00.000,1316,
2020-08-31 00:00:00.000,1417,
2020-09-07 00:00:00.000,1585,
2020-09-14 00:00:00.000,1685,
2020-09-21 00:00:00.000,2118,
2020-09-28 00:00:00.000,2326,
2020-10-05 00:00:00.000,2572,
2020-10-12 00:00:00.000,2903,
2020-10-19 00:00:00.000,3277,
2020-10-26 00:00:00.000,3267,
2020-11-02 00:00:00.000,3262,
2020-11-09 00:00:00.000,3160,
2020-11-16 00:00:00.000,2966,
2020-11-23 00:00:00.000,2977,
2020-11-30 00:00:00.000,2830,
2020-12-07 00:00:00.000,2815,
2020-12-14 00:00:00.000,2869,
2020-12-21 00:00:00.000,2786,
2020-12-28 00:00:00.000,2822,
2021-01-04 00:00:00.000,2748,
2021-01-11 00:00:00.000,2790,
2021-01-18 00:00:00.000,2663,
2021-01-25 00:00:00.000,2570,
2021-02-01 00:00:00.000,2449,
2021-02-08 00:00:00.000,2455,
2021-02-15 00:00:00.000,2476,
2021-02-22 00:00:00.000,2388,
2021-03-01 00:00:00.000,2555,
2021-03-08 00:00:00.000,2487,
2021-03-15 00:00:00.000,2663,
2021-03-22 00:00:00.000,2825,
2021-03-29 00:00:00.000,2820,
2021-04-05 00:00:00.000,2915,
2021-04-12 00:00:00.000,2945,
2021-04-19 00:00:00.000,3593,
2021-04-26 00:00:00.000,4011,
2021-05-03 00:00:00.000,3664,479
2021-05-10 00:00:00.000,3611,512
2021-05-17 00:00:00.000,3749,572
2021-05-24 00:00:00.000,4264,679
2021-05-31 00:00:00.000,4935,781
2021-06-07 00:00:00.000,5096,817
