WEEK,UNIQUE_TOKEN_PAIRS
2020-05-04 00:00:00.000,2
2020-05-11 00:00:00.000,5
2020-05-18 00:00:00.000,251
2020-05-25 00:00:00.000,307
2020-06-01 00:00:00.000,455
2020-06-08 00:00:00.000,599
2020-06-15 00:00:00.000,565
2020-06-22 00:00:00.000,585
2020-06-29 00:00:00.000,675
2020-07-06 00:00:00.000,799
2020-07-13 00:00:00.000,777
2020-07-20 00:00:00.000,820
2020-07-27 00:00:00.000,1130
2020-08-03 00:00:00.000,1242
2020-08-10 00:00:00.000,1276
2020-08-17 00:00:00.000,1458
2020-08-24 00:00:00.000,1640
2020-08-31 00:00:00.000,1836
2020-09-07 00:00:00.000,2094
2020-09-14 00:00:00.000,2306
2020-09-21 00:00:00.000,2923
2020-09-28 00:00:00.000,3214
2020-10-05 00:00:00.000,3495
2020-10-12 00:00:00.000,3904
2020-10-19 00:00:00.000,4278
2020-10-26 00:00:00.000,4350
2020-11-02 00:00:00.000,4365
2020-11-09 00:00:00.000,4232
2020-11-16 00:00:00.000,4026
2020-11-23 00:00:00.000,4134
2020-11-30 00:00:00.000,3892
2020-12-07 00:00:00.000,3862
2020-12-14 00:00:00.000,3879
2020-12-21 00:00:00.000,3785
2020-12-28 00:00:00.000,3802
2021-01-04 00:00:00.000,3681
2021-01-11 00:00:00.000,3739
2021-01-18 00:00:00.000,3539
2021-01-25 00:00:00.000,3435
2021-02-01 00:00:00.000,3281
2021-02-08 00:00:00.000,3287
2021-02-15 00:00:00.000,3299
2021-02-22 00:00:00.000,3188
2021-03-01 00:00:00.000,3405
2021-03-08 00:00:00.000,3329
2021-03-15 00:00:00.000,3515
2021-03-22 00:00:00.000,3709
2021-03-29 00:00:00.000,3695
2021-04-05 00:00:00.000,3820
2021-04-12 00:00:00.000,3853
2021-04-19 00:00:00.000,4663
2021-04-26 00:00:00.000,5270
2021-05-03 00:00:00.000,4781
2021-05-10 00:00:00.000,4578
2021-05-17 00:00:00.000,4961
2021-05-24 00:00:00.000,5553
2021-05-31 00:00:00.000,6323
2021-06-07 00:00:00.000,6643
2021-06-14 00:00:00.000,6214
2021-06-21 00:00:00.000,6128
2021-06-28 00:00:00.000,6338
2021-07-05 00:00:00.000,5813
2021-07-12 00:00:00.000,5168
2021-07-19 00:00:00.000,5414
2021-07-26 00:00:00.000,5075
2021-08-02 00:00:00.000,4879
2021-08-09 00:00:00.000,4713
2021-08-16 00:00:00.000,4971
2021-08-23 00:00:00.000,4269
2021-08-30 00:00:00.000,4001
2021-09-06 00:00:00.000,4281
2021-09-13 00:00:00.000,4507
2021-09-20 00:00:00.000,4445
2021-09-27 00:00:00.000,4265
2021-10-04 00:00:00.000,4164
2021-10-11 00:00:00.000,4267
2021-10-18 00:00:00.000,4820
2021-10-25 00:00:00.000,4560
2021-11-01 00:00:00.000,4888
2021-11-08 00:00:00.000,5016
2021-11-15 00:00:00.000,4944
2021-11-22 00:00:00.000,4847
2021-11-29 00:00:00.000,4729
2021-12-06 00:00:00.000,5227
2021-12-13 00:00:00.000,4992
2021-12-20 00:00:00.000,5207
2021-12-27 00:00:00.000,5255
2022-01-03 00:00:00.000,4385
2022-01-10 00:00:00.000,4122
2022-01-17 00:00:00.000,4503
2022-01-24 00:00:00.000,4390
2022-01-31 00:00:00.000,4747
2022-02-07 00:00:00.000,5060
2022-02-14 00:00:00.000,5018
2022-02-21 00:00:00.000,5150
2022-02-28 00:00:00.000,5434
2022-03-07 00:00:00.000,6073
2022-03-14 00:00:00.000,5849
2022-03-21 00:00:00.000,5794
2022-03-28 00:00:00.000,5648
2022-04-04 00:00:00.000,5754
2022-04-11 00:00:00.000,5816
2022-04-18 00:00:00.000,5670
2022-04-25 00:00:00.000,5390
2022-05-02 00:00:00.000,5397
2022-05-09 00:00:00.000,5480
2022-05-16 00:00:00.000,5922
2022-05-23 00:00:00.000,5648
2022-05-30 00:00:00.000,4885
