TRADING_WEEK,BLOCKCHAIN,UNIQUE_TOKEN_PAIRS
2020-05-04 00:00:00.000,ethereum,2
2020-05-11 00:00:00.000,ethereum,5
2020-05-18 00:00:00.000,ethereum,251
2020-05-25 00:00:00.000,ethereum,307
2020-06-01 00:00:00.000,ethereum,455
2020-06-08 00:00:00.000,ethereum,599
2020-06-15 00:00:00.000,ethereum,565
2020-06-22 00:00:00.000,ethereum,585
2020-06-29 00:00:00.000,ethereum,675
2020-07-06 00:00:00.000,ethereum,799
2020-07-13 00:00:00.000,ethereum,777
2020-07-20 00:00:00.000,ethereum,820
2020-07-27 00:00:00.000,ethereum,1130
2020-08-03 00:00:00.000,ethereum,1242
2020-08-10 00:00:00.000,ethereum,1276
2020-08-17 00:00:00.000,ethereum,1458
2020-08-24 00:00:00.000,ethereum,1640
2020-08-31 00:00:00.000,ethereum,1836
2020-09-07 00:00:00.000,ethereum,2094
2020-09-14 00:00:00.000,ethereum,2306
2020-09-21 00:00:00.000,ethereum,2923
2020-09-28 00:00:00.000,ethereum,3214
2020-10-05 00:00:00.000,ethereum,3495
2020-10-12 00:00:00.000,ethereum,3904
2020-10-19 00:00:00.000,ethereum,4278
2020-10-26 00:00:00.000,ethereum,4350
2020-11-02 00:00:00.000,ethereum,4365
2020-11-09 00:00:00.000,ethereum,4232
2020-11-16 00:00:00.000,ethereum,4026
2020-11-23 00:00:00.000,ethereum,4134
2020-11-30 00:00:00.000,ethereum,3892
2020-12-07 00:00:00.000,ethereum,3862
2020-12-14 00:00:00.000,ethereum,3879
2020-12-21 00:00:00.000,ethereum,3785
2020-12-28 00:00:00.000,ethereum,3802
2021-01-04 00:00:00.000,ethereum,3681
2021-01-11 00:00:00.000,ethereum,3739
2021-01-18 00:00:00.000,ethereum,3539
2021-01-25 00:00:00.000,ethereum,3435
2021-02-01 00:00:00.000,ethereum,3281
2021-02-08 00:00:00.000,ethereum,3287
2021-02-15 00:00:00.000,ethereum,3299
2021-02-22 00:00:00.000,ethereum,3188
2021-03-01 00:00:00.000,ethereum,3405
2021-03-08 00:00:00.000,ethereum,3329
2021-03-15 00:00:00.000,ethereum,3515
2021-03-22 00:00:00.000,ethereum,3709
2021-03-29 00:00:00.000,ethereum,3695
2021-04-05 00:00:00.000,ethereum,3820
2021-04-12 00:00:00.000,ethereum,3853
2021-04-19 00:00:00.000,ethereum,4663
2021-04-26 00:00:00.000,ethereum,5270
2021-05-03 00:00:00.000,ethereum,4781
2021-05-10 00:00:00.000,ethereum,4578
2021-05-17 00:00:00.000,ethereum,4961
2021-05-24 00:00:00.000,ethereum,5553
2021-05-31 00:00:00.000,ethereum,6323
2021-06-07 00:00:00.000,ethereum,6643
2021-06-14 00:00:00.000,ethereum,6214
2021-06-21 00:00:00.000,ethereum,6128
2021-06-28 00:00:00.000,ethereum,6338
2021-07-05 00:00:00.000,ethereum,5813
2021-07-12 00:00:00.000,arbitrum,1
2021-07-12 00:00:00.000,ethereum,5168
2021-07-19 00:00:00.000,ethereum,5414
2021-07-26 00:00:00.000,ethereum,5075
2021-08-02 00:00:00.000,ethereum,4879
2021-08-09 00:00:00.000,ethereum,4713
2021-08-16 00:00:00.000,ethereum,4971
2021-08-23 00:00:00.000,arbitrum,2
2021-08-23 00:00:00.000,ethereum,4268
2021-08-30 00:00:00.000,arbitrum,18
2021-08-30 00:00:00.000,ethereum,3994
2021-09-06 00:00:00.000,arbitrum,37
2021-09-06 00:00:00.000,ethereum,4273
2021-09-13 00:00:00.000,arbitrum,48
2021-09-13 00:00:00.000,ethereum,4491
2021-09-20 00:00:00.000,arbitrum,47
2021-09-20 00:00:00.000,ethereum,4435
2021-09-27 00:00:00.000,arbitrum,51
2021-09-27 00:00:00.000,ethereum,4252
2021-10-04 00:00:00.000,arbitrum,50
2021-10-04 00:00:00.000,ethereum,4154
2021-10-11 00:00:00.000,arbitrum,61
2021-10-11 00:00:00.000,ethereum,4254
2021-10-18 00:00:00.000,arbitrum,59
2021-10-18 00:00:00.000,ethereum,4809
2021-10-25 00:00:00.000,arbitrum,60
2021-10-25 00:00:00.000,ethereum,4550
2021-11-01 00:00:00.000,arbitrum,59
2021-11-01 00:00:00.000,ethereum,4872
2021-11-08 00:00:00.000,arbitrum,57
2021-11-08 00:00:00.000,ethereum,4992
2021-11-08 00:00:00.000,optimism,35
2021-11-15 00:00:00.000,arbitrum,67
2021-11-15 00:00:00.000,ethereum,4918
2021-11-15 00:00:00.000,optimism,41
2021-11-22 00:00:00.000,arbitrum,73
