WEEK,BLOCKCHAIN,NEW_TOKENS,CUMU_NEW_TOKENS
2020-05-04 00:00:00.000,ethereum,3,3
2020-05-11 00:00:00.000,ethereum,2,5
2020-05-18 00:00:00.000,ethereum,189,194
2020-05-25 00:00:00.000,ethereum,70,264
2020-06-01 00:00:00.000,ethereum,142,406
2020-06-08 00:00:00.000,ethereum,201,607
2020-06-15 00:00:00.000,ethereum,156,763
2020-06-22 00:00:00.000,ethereum,95,858
2020-06-29 00:00:00.000,ethereum,181,1039
2020-07-06 00:00:00.000,ethereum,194,1233
2020-07-13 00:00:00.000,ethereum,124,1357
2020-07-20 00:00:00.000,ethereum,128,1485
2020-07-27 00:00:00.000,ethereum,324,1809
2020-08-03 00:00:00.000,ethereum,304,2113
2020-08-10 00:00:00.000,ethereum,251,2364
2020-08-17 00:00:00.000,ethereum,359,2723
2020-08-24 00:00:00.000,ethereum,408,3131
2020-08-31 00:00:00.000,ethereum,471,3602
2020-09-07 00:00:00.000,ethereum,378,3980
2020-09-14 00:00:00.000,ethereum,337,4317
2020-09-21 00:00:00.000,ethereum,546,4863
2020-09-28 00:00:00.000,ethereum,497,5360
2020-10-05 00:00:00.000,ethereum,527,5887
2020-10-12 00:00:00.000,ethereum,601,6488
2020-10-19 00:00:00.000,ethereum,799,7287
2020-10-26 00:00:00.000,ethereum,707,7994
2020-11-02 00:00:00.000,ethereum,601,8595
2020-11-09 00:00:00.000,ethereum,467,9062
2020-11-16 00:00:00.000,ethereum,352,9414
2020-11-23 00:00:00.000,ethereum,292,9706
2020-11-30 00:00:00.000,ethereum,239,9945
2020-12-07 00:00:00.000,ethereum,276,10221
2020-12-14 00:00:00.000,ethereum,254,10475
2020-12-21 00:00:00.000,ethereum,214,10689
2020-12-28 00:00:00.000,ethereum,179,10868
2021-01-04 00:00:00.000,ethereum,163,11031
2021-01-11 00:00:00.000,ethereum,154,11185
2021-01-18 00:00:00.000,ethereum,114,11299
2021-01-25 00:00:00.000,ethereum,133,11432
2021-02-01 00:00:00.000,ethereum,147,11579
2021-02-08 00:00:00.000,ethereum,96,11675
2021-02-15 00:00:00.000,ethereum,79,11754
2021-02-22 00:00:00.000,ethereum,76,11830
2021-03-01 00:00:00.000,ethereum,87,11917
2021-03-08 00:00:00.000,ethereum,56,11973
2021-03-15 00:00:00.000,ethereum,136,12109
2021-03-22 00:00:00.000,ethereum,217,12326
2021-03-29 00:00:00.000,ethereum,163,12489
2021-04-05 00:00:00.000,ethereum,162,12651
2021-04-12 00:00:00.000,ethereum,135,12786
2021-04-19 00:00:00.000,ethereum,574,13360
2021-04-26 00:00:00.000,ethereum,473,13833
2021-05-03 00:00:00.000,ethereum,256,14089
2021-05-10 00:00:00.000,ethereum,622,14711
2021-05-17 00:00:00.000,ethereum,516,15227
2021-05-24 00:00:00.000,ethereum,695,15922
2021-05-31 00:00:00.000,arbitrum,1,1
2021-05-31 00:00:00.000,ethereum,1086,17008
2021-06-07 00:00:00.000,ethereum,1058,18066
2021-06-14 00:00:00.000,ethereum,722,18788
2021-06-21 00:00:00.000,ethereum,719,19507
2021-06-28 00:00:00.000,ethereum,810,20317
2021-07-05 00:00:00.000,ethereum,660,20977
2021-07-12 00:00:00.000,arbitrum,1,2
2021-07-12 00:00:00.000,ethereum,418,21395
2021-07-19 00:00:00.000,ethereum,400,21795
2021-07-26 00:00:00.000,ethereum,290,22085
2021-08-02 00:00:00.000,ethereum,296,22381
2021-08-09 00:00:00.000,ethereum,286,22667
2021-08-16 00:00:00.000,ethereum,306,22973
2021-08-23 00:00:00.000,arbitrum,2,4
2021-08-23 00:00:00.000,ethereum,194,23167
2021-08-30 00:00:00.000,arbitrum,15,19
2021-08-30 00:00:00.000,ethereum,114,23281
2021-09-06 00:00:00.000,arbitrum,18,37
2021-09-06 00:00:00.000,ethereum,126,23407
2021-09-13 00:00:00.000,arbitrum,13,50
2021-09-13 00:00:00.000,ethereum,165,23572
2021-09-20 00:00:00.000,arbitrum,5,55
2021-09-20 00:00:00.000,ethereum,216,23788
2021-09-27 00:00:00.000,arbitrum,4,59
